district,name,address,phone,type
Hubballi,"District Social Welfare Office, Hubballi","Welfare Bhavan, Lamington Road, Hubballi – 580020",0836-2362233,Social Welfare
Hubballi,Dharwad District Collectorate,"DC Office Campus, Dharwad – 580008",0836-2747700,Revenue / Collectorate
Hubballi,KSRTC Namma Seva Kendra,"KSRTC Bus Stand Complex, Hubballi – 580020",0836-2256099,Citizen Service Centre
Hubballi,PMEGP District Industries Centre,"DIC Building, Koppikar Road, Hubballi",0836-2362555,Employment / MSME
Dharwad,District Collectorate Dharwad,"DC Office, P.B. Road, Dharwad – 580008",0836-2747700,Revenue / Collectorate
Dharwad,Taluk Social Welfare Office,"Near Bus Stand, Dharwad",0836-2440100,Social Welfare
Dharwad,Seva Sindhu Centre – Dharwad,"CMC Complex, Dharwad",080-44554455,Citizen Service Centre
Bengaluru,BBMP Citizen Service Centre,"BBMP Head Office, N.R. Square, Bengaluru – 560002",080-22660000,Municipal / Citizen Services
Bengaluru,District Social Welfare Office,"Kendriya Sadan, Koramangala, Bengaluru",080-25530887,Social Welfare
Bengaluru,Atal Jan Seva Kendra (CSC),Indira Nagar / Jayanagar / Rajajinagar,1800-121-3468,Citizen Service Centre
Bengaluru,"District Collectorate, Bengaluru","SSLR Building, Race Course Road – 560001",080-22353506,Revenue / Collectorate
Mysuru,"District Collectorate, Mysuru","DC Office, JLB Road, Mysuru – 570001",0821-2420201,Revenue / Collectorate
Mysuru,District Social Welfare Office,"Welfare Building, Saraswathipuram, Mysuru",0821-2561234,Social Welfare
Mysuru,Seva Sindhu Kendra – Mysuru,"KHB Colony, Kuvempunagar, Mysuru",080-44554455,Citizen Service Centre
Belagavi,"District Collectorate, Belagavi","DC Office, Club Road, Belagavi – 590001",0831-2422001,Revenue / Collectorate
Belagavi,District Social Welfare Office,"Near Old Bus Stand, Belagavi",0831-2426100,Social Welfare
Belagavi,CSC – Common Service Centre,"Smart City Office, Belagavi",1800-121-3468,Citizen Service Centre
Mumbai,"District Collector Office, Mumbai City","CST Road, Mantralaya Complex, Mumbai – 400032",022-22025050,Revenue / Collectorate
Mumbai,Aaple Sarkar Service Centre,"BMC Head Office, CST Road, Mumbai",1800-120-8040,Citizen Service Centre
Mumbai,District Social Welfare Office,"Bandra East, Mumbai – 400051",022-26592010,Social Welfare
Mumbai,MSME Development Institute,"Kurla-Andheri Road, Saki Naka, Mumbai – 400072",022-28521380,Employment / MSME
Pune,"District Collectorate, Pune","Collector Office, Shivajinagar, Pune – 411005",020-25507100,Revenue / Collectorate
Pune,Aaple Sarkar Seva Kendra – Pune,"Near Swargate Bus Stand, Pune",1800-120-8040,Citizen Service Centre
Pune,District Social Welfare Office,"Near Sassoon General Hospital, Pune",020-26130150,Social Welfare
Chennai,"District Collectorate, Chennai","Rajaji Salai, Chennai – 600001",044-25672345,Revenue / Collectorate
Chennai,Tamil Nadu Social Welfare Board,"DMS Campus, Park Town, Chennai – 600003",044-28413333,Social Welfare
