id,name,ministry,category,age_min,age_max,benefit,eligibility_text,documents,last_date,url,gender
AG01,Pradhan Mantri Kisan Samman Nidhi,Ministry of Electronics & IT () Government of India,Agriculture,0,120,Farmer welfare scheme by Ministry of Agriculture and Farmers Welfare to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs.,"EligibilityAll landholding farmers' families, which have cultivable land holding in their names are eligible to get benefit under the scheme.",Aadhaar Card | Landholding papers | Savings Bank Account.,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pm-kisan,any
AG02,Kisan Credit Card,Ministry of Electronics & IT () Government of India,Agriculture,0,120,The Kisan Credit Card (KCC) scheme was introduced in 1998 for issue of Kisan Credit Cards to farmers on the basis of their holdings for uniform adoption by the banks so that farmers may use them to readily purchase agriculture inputs and draw cash for their production needs.,"EligibilityEligibilityFarmers - individual/joint borrowers who are owner cultivators;Tenant farmers, oral lessees & share croppers;Self Help Groups (SHGs) or Joint Liability Groups (JLGs) of farmers including tenant farmers, share croppers etc","Application Form. | Two Passport Size Photographs. | ID proof such as Driving License / Aadhar Card / Voter Identity Card / Passport. | Address Proof such as Driving License, Aadhar Card. | Proof of landholding duly certified by the revenue authorities. | Cropping pattern (Crops grown) with acreage.",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/kcc,any
AG03,Pradhan Mantri Fasal Bima Yojna (PMFBY),Ministry of Agriculture. PMFBY aims to provide financial protection to farmers against crop loss due,Agriculture,0,120,Pradhan Mantri Fasal Bima Yojana was launched in 2016 with the aim to support farmers by providing an affordable comprehensive risk cover for crops.,"EligibilityAll farmers, including tenant farmers and sharecroppers growing notified crops in notified areas.Farmers must have an insurable interest in the insured crops.Farmers must possess a valid and authenticated land ownership certificate or a valid land tenure agreement.The farmer must be a cultivator or sharecropper on the insured land.The farmer must apply for insurance coverage within the prescribed time frame, usually within 2 weeks of the start of the sowing season.Farmers must not hav","Passport–sized Photograph | Passbook | Identity Proof (Aadhaar Card/PAN Card/Voter ID/Bank Passbook with Photo, Kisan Photo Book/NREGA Job Card) | Address Proof (Aadhaar Card/PAN Card/Voter ID/Electricity Bill/Bank Passbook with Photo). | Evidence of Land records, as per the State Records of Right (RoR), Land Possession Certificate (LPC), and other applicable agreements, contracts notified or permitted by the state. | Declaration about the crop sown/intended to be sown.",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmfby,any
ED01,PM POSHAN - Prime Minister's Overarching Scheme For Holistic Nourishment,Ministry of Education PM POSHAN - Prime Minister's Overarching Scheme For Holistic Nourishment Child,Education,6,35,"PM POSHAN is a centrally sponsored scheme by the Department of School Education & Literacy, Ministry of Education. Under this scheme, one hot cooked meal will be provided to the children studying in Government and Government – aided schools. The Scheme is implemented by the Ministry of Education.",EligibilityThe applicant must be a citizen of India.The applicant must be studying in a Primary or Upper Primary class (Class 1st to Class 8th) in a Government or a Government-aided school.,Aadhaar card | Caste certificate | Mark sheet / Bonafide certificate | Passport photo,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pm-poshan,any
ED02,Pradhan Mantri Mudra Yojana,Ministry of Electronics & IT () Government of India,Education,0,120,"Pradhan Mantri Mudra Yojana (PMMY) is a flagship scheme of Government of India. It facilitates micro credit/Loan upto Rs. 20 lakhs to income generating micro enterprises engaged in the non farm sector in manufacturing, processing, trading or service sector including activities allied to agriculture","EligibilityEligible borrowersIndividualsProprietary concern.Partnership Firm.Private Ltd. Company.Public Company.Any other legal forms.Note 01:The applicant should not be a defaulter to any bank or financial institution and should have a satisfactory credit track record.Note 02: The individual borrowers may be required to possess the necessary skills/experience/ knowledge to undertake the proposed activity.Note 03: The need for educational qualification, if any, is assessed based on the nature o","Proof of Identity – Self- attested copy of Voter’s ID Card / Driving Licence / PAN Card / Aadhaar Card / Passport / Photo IDs issued by Govt. authority etc. | Proof of Residence: Recent telephone bill / electricity bill / property tax receipt (not older than 2 months) / Voter’s ID Card / Aadhar Card / Passport of Individual / Proprietor / Partners Bank passbook or latest account statement duly attested by Bank Officials / Domicile Certificate / Certificate issued by Govt. Authority / Local Panchayat / Municipality etc. | Applicant’s recent coloured Photograph (2 copies) not older than 6 months. | Quotation of Machinery / other items to be purchased. | Name of supplier / details of machinery / price of machinery and / or items to be purchased. | Proof of Identity / Address of the Business Enterprise – Copies of relevant Licences / Registration Certificates / Other Documents pertaining to the ownership, identity of address of business unit, if any.",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmmy,any
ED03,Prime Minister's Employment Generation Programme,"Ministry of Micro, Small and Medium Enterprises (MSME). PMEGP aims to generate employment opportunit",Education,18,120,"Launched in August 2008, Prime Minister's Employment Generation Programme (PMEGP) is a credit-linked subsidy scheme, administered by the Ministry of Micro, Small and Medium Enterprises (MSME). PMEGP aims to generate employment opportunities through the establishment of micro-enterprises in","EligibilityFor PMEGP new enterprises (Units) Any individual, above 18 years of age. There will be no income ceiling for assistance in setting up projects under PMEGP. For setting up of project costing above Rs.10 lakh in the Manufacturing sector and above ₹ 5,00,000 in the Business /Service sector, the beneficiaries should possess at least VIII standard pass educational qualification. Assistance under the scheme is available only for new projects sanctioned specifically under the PMEGP. Existing","Caste Certificate | Special Category Certificate, wherever required | Rural Area Certificate | Project Report | Education / EDP / Skill Development Training Certificate | Any other applicable document",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmegp,any
EM01,National Apprenticeship Promotion Scheme-2,Ministry of Skill Development and Entrepreneurship (MSDE) launched the National Apprenticeship Promo,Employment & Skill,14,120,"To promote apprenticeship training in the country, by providing partial stipend support to the apprentices engaged under the Apprentice Act, 1961, undertaking capacity building of the apprenticeship ecosystem, and providing advocacy assistance to the stakeholders.","EligibilityMinimum age for an apprentice is 14 years, and 18 years for designated trades related to hazardous industries, as per Section 3(a) of the Apprentices Act, 1961. Apprenticeship training is primarily a transition from academia to workplace, and therefore, to avail partial stipend support by the Government, at the time of registration the upper age limit should be 35 years. Candidates from skill development programmes such as Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDUGKY), Nation",Aadhaar Card | Documents required as per selected Trade,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/naps,any
FI01,Stand-Up India,Ministry of Finance for financing SC/ST and/or Women Entrepreneurs by facilitating bank loans for se,Financial,0,120,"A scheme by Ministry of Finance for financing SC/ST and Women Entrepreneurs by facilitating bank loans for setting up a greenfield project Enterprise in manufacturing, services, trading sector and activities allied to agriculture.","EligibilityFinance is provided for Greenfield Enterprises.If the applicant is a male, he must be from SC / ST category.The age of the applicant must be at least 18 years.The applicant must not be in default to any bank/financial institution.","Proof of Identity: Voter’s ID Card / Passport / Driving License / PAN Card / Signature identification from present bankers of proprietor, partner of director ( if a company) | Proof of Residence: Recent telephone bills, electricity bill, property tax receipt /Passport / voter’s ID Card of Proprietor, partner of Director (if a company) | Proof of Business Address | Proof that the applicant is not a defaulter in any Bank / Financial Institution | Memorandum and articles of association of the Company / Partnership Deed of partners etc. | Assets and liabilities statement of promoters and guarantors along with latest income tax returns.",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/sui,any
HE01,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,"Ministry of Health and Family Welfare, Government of India, aims to provide cashless hospitalisation",Health & Nutrition,0,120,"AB PM-JAY is a health insurance scheme for low-income families in rural and urban areas. The scheme aims to provide affordable healthcare facilities to the Poor. It is the largest health assurance scheme in the world which aims at providing a health cover of ₹5,00,000/- per family per year.","EligibilityRural BeneficiariesOut of the total seven deprivation criteria for rural areas, PM-JAY covered all such families who fall into at least one of the following six deprivation criteria and automatic inclusion(Destitute/ living on alms, manual scavenger households, primitive tribal group, legally released bonded labour) criteria:Only one room with kucha walls and kucha roofNo adult member between ages 16 to 59Households with no adult male member between ages 16 to 59Disabled member and no",Aadhaar card | Caste certificate | Passport photo,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/ab-pmjay,any
HE02,Janani Shishu Suraksha Karyakram,"Ministry of Health and Family Welfare, Government of India, aims to provide free and cashless delive",Health & Nutrition,0,2,"The scheme aims to provide completely free and cashless delivery, including caesarean section, for pregnant women at government health facilities along with free treatment for sick newborns and infants.",EligibilityThe applicant must be a pregnant woman.The applicant must be admitted to a government health facility.﻿,Aadhaar Number | Address proof | Domicile certificate | Ration card | Janani Suraksha Card,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/jssk,female
HE03,Soil Health Card Scheme - Uttarakhand,Ministry of Electronics & IT () Government of India,Health & Nutrition,0,120,"The scheme aims to provide Soil Health Cards to all farmers in the state, helping them understand the nutrient composition of their soil and the type and quantity of fertilizers suitable for their crops.",EligibilityThe applicant must be a resident of Uttarakhand.The applicant must be a farmer.The farmer must own agricultural land in the state and be actively engaged in farming activities.﻿,Aadhar card | Residence certificate | Mobile number,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/shc,any
