id,name,ministry,category,age_min,age_max,benefit,eligibility_text,documents,last_date,url,gender
C01,Poshan Abhiyaan,Ministry of WCD,Health & Nutrition,0,5,"Nutritional support, growth monitoring, supplementary food for children under 5",infant child below 5 years old nutrition malnutrition stunting wasting anemia pregnant lactating mother,Aadhaar card (child & mother)|Birth certificate|Anganwadi registration slip|Income certificate|Ration card,Open year-round — apply at nearest Anganwadi centre,https://www.myscheme.gov.in/schemes/poshan-abhiyaan,any
C02,Integrated Child Development Services (ICDS),Ministry of WCD,Health & Nutrition,0,6,"Free supplementary nutrition, immunisation, health check-up, pre-school education",child below 6 years anganwadi supplementary nutrition immunisation pre-school health check poor family,Aadhaar card|Birth certificate|Anganwadi registration form|BPL ration card,Open year-round — register at local Anganwadi centre,https://www.myscheme.gov.in/schemes/icds,any
C03,Janani Suraksha Yojana,Ministry of Health,Health,0,1,"Cash assistance Rs.1,400 (rural) / Rs.1,000 (urban) for institutional delivery",pregnant woman newborn infant delivery institutional birth BPL below poverty line mother childbirth hospital,Aadhaar card (mother)|BPL ration card|Bank passbook|Institutional delivery certificate|Pregnancy registration card,Apply within 6 months of delivery,https://www.myscheme.gov.in/schemes/jsy,female
C04,Mission Indradhanush,Ministry of Health,Health,0,2,"Free full immunisation — polio, DPT, BCG, measles, hepatitis B",infant child below 2 years immunisation vaccination polio DPT BCG measles hepatitis newborn,Child's birth certificate|Aadhaar card of parent|Immunisation card (if any),Ongoing — visit nearest PHC / Sub-centre anytime,https://www.myscheme.gov.in/schemes/mission-indradhanush,any
C05,Rashtriya Bal Swasthya Karyakram (RBSK),Ministry of Health,Health,0,18,"Free health screening for children — defects, diseases, deficiencies, developmental delays",child below 18 years health screening disease detection disability free treatment school going,Aadhaar card (child)|School enrolment certificate|Disability/disease certificate (if any),Ongoing — screening done in schools every year,https://www.myscheme.gov.in/schemes/rbsk,any
E01,Right to Education (RTE) Act,Ministry of Education,Education,6,14,Free and compulsory elementary education for all children aged 6-14,child 6 to 14 years free compulsory education school admission right to education,Birth certificate|Aadhaar card|Residence proof|Caste certificate (if applicable)|Income certificate,Admission July–August each academic year,https://www.myscheme.gov.in/schemes/rte,any
E02,PM POSHAN (Mid-Day Meal Scheme),Ministry of Education,Education & Nutrition,6,14,Free hot cooked meal every school day for government school students Classes 1-8,child 6 to 14 years school midday meal free food nutrition government school,School enrolment certificate|Aadhaar card|Parent's Aadhaar,Ongoing — automatic for enrolled students,https://www.myscheme.gov.in/schemes/pm-poshan,any
E03,Samagra Shiksha Abhiyan,Ministry of Education,Education,6,18,"Free textbooks, uniforms, school bags for government school students",child student 6 to 18 years school education infrastructure quality improvement,School enrolment certificate|Aadhaar card|BPL card (if applicable),Distributed at start of academic year (June–July),https://www.myscheme.gov.in/schemes/samagra-shiksha,any
E04,National Means-cum-Merit Scholarship (NMMS),Ministry of Education,Education,13,18,"Rs.12,000/year scholarship for meritorious students from low-income families",student merit scholarship 13 to 18 years secondary education class 8 9 10 meritorious poor,Class 8 marksheet|Income certificate (below Rs.3.5 lakh)|Aadhaar card|Bank passbook|School head certificate,Apply on NSP portal by 31 October each year,https://www.myscheme.gov.in/schemes/nmms,any
E07,Pre-Matric Scholarship for SC Students,Ministry of Social Justice,Education,9,18,Rs.150-250/month scholarship + annual maintenance for SC students in Classes 9-10,SC scheduled caste student pre-matric scholarship 9 to 18 years school education disadvantaged,SC caste certificate|Class 8 marksheet|Aadhaar card|Bank passbook|Income certificate,Apply on NSP portal by 31 October each year,https://www.myscheme.gov.in/schemes/pre-matric-scholarship-sc,any
